id,name,sku,price,regular_price,sale_price
46872,"BRE-3 Rectangular - 1.5m x 0.9m, B11518",BRE-3-1500-B11518,1050,1050,
46873,"BRE-3 Rectangular - 1.8m x 1.0m, B11518",BRE-3-1800-B11518,1600,1600,
46871,"BRE-3 Rectangular - 2.1m x 1.1m, B11518",BRE-3-2100-B11518,2200,2200,
46875,"BRE-5 Rectangular - 1.5m x 0.9m, B11518",BRE-5-1500-B11518,1050,1050,
46877,"BRE-5 Rectangular - 1.8m x 1.0m, B11518",BRE-5-1800-B11518,1600,1600,
46874,"BRE-5 Rectangular - 2.1m x 1.1m, B11518",BRE-5-2100-B11518,2200,2200,
46879,"BRE-6 Rectangular - 1.8m x 1.0m, B11518",BRE-6-1800-B11518,1600,1600,
46880,"BRE-6 Rectangular - 2.1m x 1.1m, B11518",BRE-6-2100-B11518,2200,2200,
46878,"BRE-6 Rectangular - 2.4m x 1.2m, B11518",BRE-6-2400-B11518,4150,4150,
46882,"BRE-7 Rectangular - 1.8m x 1.0m, B11518",BRE-7-1800-B11518,1600,1600,
46883,"BRE-7 Rectangular - 2.1m x 1.1m, B11518",BRE-7-2100-B11518,2200,2200,
46881,"BRE-7 Rectangular - 2.4m x 1.2m, B11518",BRE-7-2400-B11518,4150,4150,
126413,"BRE-9 Rectangular - 1.5m x 0.9m, B11518",BRE-9-1500-B11518,1050,1050,
126462,"BRE-9 Rectangular - 1.8m x 1.0m, B11518",BRE-9-1800-B11518,1600,1600,
126509,"BRE-9 Rectangular - 2.1m x 1.1m, B11518",BRE-9-2100-B11518,2200,2200,
126557,"BRE-9 Rectangular - 2.4m x 1.2m, B11518",BRE-9-2400-B11518,4150,4150,
46885,"BRE-8 Oval - B11518, 1.8m x 1.0m",BRE-8-1800-B11518,1600,1600,
46886,"BRE-8 Oval - B11518, 2.1m x 1.1m",BRE-8-2100-B11518,2200,2200,
46884,"BRE-8 Oval - B11518, 2.4m x 1.2m",BRE-8-2400-B11518,4150,4150,
46859,"BR-3 Round - Ø1.3m, B11518",BR-3-1300-B11518,1500,1500,
46860,"BR-3 Round - Ø1.5m, B11518",BR-3-1500-B11518,2000,2000,
46861,"BR-3 Round - Ø1.8m, B11518",BR-3-1800-B11518,3600,3600,
46862,"BR-4 Round - Ø1.3m, B11518",BR-4-1300-B11518,1500,1500,
46863,"BR-4 Round - Ø1.5m, B11518",BR-4-1500-B11518,2000,2000,
46864,"BR-4 Round - Ø1.8m, B11518",BR-4-1800-B11518,4300,4300,
51708,"BR-5 Round - Ø1.0m, B11518",BR-5-1000-B11518,980,980,
46854,"BR-5 Round - Ø1.3m, B11518",BR-5-1300-B11518,1500,1500,
46855,"BR-5 Round - Ø1.5m, B11518",BR-5-1500-B11518,2000,2000,
46856,"BR-5 Round - Ø1.8m, B11518",BR-5-1800-B11518,4300,4300,
125722,"BR-7 Round - Ø1.0m, B11518",BR-7-1000-B11518,980,980,
125752,"BR-7 Round - Ø1.3m, B11518",BR-7-1300-B11518,1500,1500,
125782,"BR-7 Round - Ø1.5m, B11518",BR-7-1500-B11518,2000,2000,
125812,"BR-7 Round - Ø1.8m, B11518",BR-7-1800-B11518,4300,4300,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46865,BS-1 Square - B11518,BS-1-B11518,2100,2100,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
46867,BT-1 Triangle - B11518,BT-1-B11518,2200,2200,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
121154,Adeline Ash Wood Base,WLR-4A,1600,1600,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143079,Jazz Stainless Steel Base,SLR-07,3350,3350,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
143081,Optimus Stainless Steel Base,SLR-06,3100,3100,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125012,Noa Stainless Steel Base,SLR-01,2000,2000,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
125020,Xyla Metal Base (Black Glossy),SLR-03,1500,1500,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
135160,Xyler Metal Base (Black Glossy),SLR-03B,1900,1900,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
126829,Yetalyn Stainless Steel Base,SLR-02-1,1800,1800,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
125022,Xylia Metal Base (Black Glossy),SLRE-03,1600,1600,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
121156,Cora Ash Wood Base,WLRE-1A,1500,1500,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
141373,Lavato Solid Rubberwood Base,WLRE-6A,1900,1900,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
121158,Coral Ash Wood Base,WLRE-1B,1750,1750,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143083,Arcee Stainless Steel Base,SLRE-06,2600,2600,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143094,Cyclonus Metal Base,MLRE-03,2200,2200,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143091,Grimlock Metal Base,MLRE-02,2500,2500,
143087,Hound Metal Base,MLRE-01,2100,2100,
143087,Hound Metal Base,MLRE-01,2100,2100,
143087,Hound Metal Base,MLRE-01,2100,2100,
143087,Hound Metal Base,MLRE-01,2100,2100,
143087,Hound Metal Base,MLRE-01,2100,2100,
143087,Hound Metal Base,MLRE-01,2100,2100,
143087,Hound Metal Base,MLRE-01,2100,2100,
143087,Hound Metal Base,MLRE-01,2100,2100,
143087,Hound Metal Base,MLRE-01,2100,2100,
143087,Hound Metal Base,MLRE-01,2100,2100,
125018,Yetta Stainless Steel Base - 2.1m x 1.1m,SLRE-02-1-2100,2400,2400,
125019,Yetta Stainless Steel Base - 2.4m x 1.2m,SLRE-02-1-2400,2400,2400,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
119923,Nava Ash Wood Base,WLR-2B,2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
149686,Nava Black Ash Wood Base,WLR-2B(Black),2350,2350,
119927,Neva Ash Wood Base,WLR-2A,2050,2050,
